RptNo,RptName,StatCourseNo,StatCourseName,DataDate,PlaceNo,PlaceName,PeriodNo,PeriodName,Complex1,ComplexName,Complex2,Complex2Name,Complex3,Complex3Name,Complex4,Complex4Name,Complex5,Complex5Name,DeriveNo,DeriveExplain,FValue,SValue,RptDeptNo,RptDeptName,CreateTime,ModifyTime
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230010000101,國立,0,,0,,0,,0,,0,,12,,387040000E,教育局,2017/2/22 上午 08:34:19,2018/2/7 下午 06:11:49
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230010000102,市立,0,,0,,0,,0,,0,,9,,387040000E,教育局,2017/2/22 上午 08:34:19,2018/2/7 下午 06:11:49
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000,臺中市,S,學年,2300100002,私立,0,,0,,0,,0,,0,,20,,387040000E,教育局,2017/2/22 上午 08:34:19,2018/2/7 下午 06:11:49
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000010,臺中市中區,S,學年,0,,0,,0,,0,,0,,0,,0,,387040000E,教育局,2017/2/22 上午 08:34:19,2018/2/7 下午 06:11:49
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000020,臺中市東區,S,學年,0,,0,,0,,0,,0,,0,,1,,387040000E,教育局,2017/2/22 上午 08:34:19,2018/2/7 下午 06:11:49
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000030,臺中市南區,S,學年,0,,0,,0,,0,,0,,0,,1,,387040000E,教育局,2017/2/22 上午 08:34:19,2018/2/7 下午 06:11:49
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000040,臺中市西區,S,學年,0,,0,,0,,0,,0,,0,,2,,387040000E,教育局,2017/2/22 上午 08:34:19,2018/2/7 下午 06:11:49
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000050,臺中市北區,S,學年,0,,0,,0,,0,,0,,0,,4,,387040000E,教育局,2017/2/22 上午 08:34:20,2018/2/7 下午 06:11:50
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000080,臺中市北屯區,S,學年,0,,0,,0,,0,,0,,0,,3,,387040000E,教育局,2017/2/22 上午 08:34:20,2018/2/7 下午 06:11:50
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000060,臺中市西屯區,S,學年,0,,0,,0,,0,,0,,0,,4,,387040000E,教育局,2017/2/22 上午 08:34:20,2018/2/7 下午 06:11:50
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000070,臺中市南屯區,S,學年,0,,0,,0,,0,,0,,0,,2,,387040000E,教育局,2017/2/22 上午 08:34:20,2018/2/7 下午 06:11:50
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000270,臺中市太平區,S,學年,0,,0,,0,,0,,0,,0,,3,,387040000E,教育局,2017/2/22 上午 08:34:20,2018/2/7 下午 06:11:50
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000280,臺中市大里區,S,學年,0,,0,,0,,0,,0,,0,,6,,387040000E,教育局,2017/2/22 上午 08:34:20,2018/2/7 下午 06:11:50
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000260,臺中市霧峰區,S,學年,0,,0,,0,,0,,0,,0,,0,,387040000E,教育局,2017/2/22 上午 08:34:20,2018/2/7 下午 06:11:50
10411-01-16-2,臺中市高級中等學校概況-普通科,1041101a140,高級中等學校概況-普通科-校數(單位:所),2016/8/1 上午 12:00:00,010000066000230,臺中市烏日區,S,學年,0,,0,,0,,0,,0,,0,,1,,387040000E,教育局,2017/2/22 上午 08:34:20,2018/2/7 下午 06:11:50
