年度,洲別,國別,總人數,iso_alpha
105,歐洲,英國,3815,GBR
105,歐洲,德國,1488,DEU
105,歐洲,波蘭,561,POL
105,歐洲,奧地利,419,AUT
105,歐洲,俄羅斯,181,RUS
105,歐洲,丹麥,33,DNK
105,歐洲,比利時,120,BEL
105,歐洲,荷蘭,400,NLD
105,歐洲,芬蘭,37,FIN
105,歐洲,挪威,20,NOR
105,歐洲,瑞典,113,SWE
105,歐洲,冰島,2,ISL
105,美洲,加拿大,4827,CAN
105,美洲,美國,21127,USA
105,大洋洲,澳大利亞,13582,AUS
105,大洋洲,紐西蘭,1106,NZL
105,亞洲,日本,8444,JPN
105,亞洲,韓國,265,KOR
105,亞洲,泰國,217,THA
105,亞洲,新加坡,9,SGP
105,亞洲,馬來西亞,502,MYS
105,亞洲,印尼,210,IDN
105,亞洲,菲律賓,64,PHL
105,亞洲,印度,15,IND
105,亞洲,越南,364,VNM
105,亞洲,汶萊,19,BRN
105,亞洲,斯里蘭卡,14,LKA
105,亞洲,尼泊爾,1,NPL
105,亞洲,孟加拉,1,BGD
106,歐洲,英國,3920,GBR
106,歐洲,法國,1004,FRA
106,歐洲,德國,1755,DEU
106,歐洲,波蘭,758,POL
106,歐洲,奧地利,456,AUT
106,歐洲,捷克,43,CZE
106,歐洲,比利時,120,BEL
106,歐洲,瑞士,307,CHE
106,歐洲,義大利,250,ITA
106,歐洲,西班牙,300,ESP
106,歐洲,土耳其,36,TUR
106,歐洲,愛爾蘭,10,IRL
106,歐洲,俄羅斯,172,RUS
106,歐洲,丹麥,24,DNK
106,歐洲,荷蘭,400,NLD
106,歐洲,芬蘭,45,FIN
106,歐洲,挪威,7,NOR
106,歐洲,瑞典,105,SWE
106,美洲,加拿大,3202,CAN
106,美洲,美國,21127,USA
106,美洲,巴拿馬,20,PAN
106,亞洲,日本,9642,JPN
106,亞洲,韓國,242,KOR
106,亞洲,泰國,176,THA
106,亞洲,越南,154,VNM
106,亞洲,馬來西亞,513,MYS
106,亞洲,印尼,16,IDN
106,亞洲,印度,13,IND
106,亞洲,以色列,19,ISR
106,亞洲,阿拉伯聯合大公國(杜拜地區),21,ARE
106,亞洲,約旦,20,JOR
106,大洋洲,澳大利亞,16573,AUS
106,大洋洲,紐西蘭,1820,NZL
107,歐洲,英國,3775,GBR
107,歐洲,法國,1079,FRA
107,歐洲,德國,2013,DEU
107,歐洲,波蘭,758,POL
107,歐洲,奧地利,400,AUT
107,歐洲,捷克,26,CZE
107,歐洲,荷蘭,408,NLD
107,歐洲,比利時,156,BEL
107,歐洲,匈牙利,53,HUN
107,歐洲,土耳其,30,TUR
107,歐洲,愛爾蘭,18,IRL
107,歐洲,俄羅斯,146,RUS
107,歐洲,丹麥,16,DNK
107,歐洲,芬蘭,71,FIN
107,歐洲,挪威,20,NOR
107,歐洲,瑞典,133,SWE
107,美洲,加拿大,5330,CAN
107,美洲,美國,21516,USA
107,美洲,智利,1,CHL
107,美洲,哥倫比亞,1,COL
107,美洲,聖露西亞,7,LCA
107,美洲,聖克里斯多福及尼維斯,1,KNA
107,亞洲,日本,10347,JPN
107,亞洲,韓國,123,KOR
107,亞洲,泰國,199,THA
107,亞洲,越南,60,VNM
