球員,GP,MPG,2P%,3P%,FT%,RPG,APG,SPG,BPG,PPG
賴廷恩,23,12:12,50,36.11,100,1.39,1.57,1.22,0,3.78
林書緯,17,23:15,46.88,34.88,50,3.35,3.59,1.47,0.18,9.35
簡偉儒,23,21:31,38.1,35.04,75.76,2.83,2.17,0.61,0.04,8.52
張宗憲,22,30:06:00,44.78,34.34,56.25,2.5,2.86,1.77,0.09,15.64
張伯維,10,11:20,52,19.23,60,1,0.1,0.3,0.3,4.4
周桂羽,18,07:32,28.57,23.08,100,0.78,1.28,0.06,0.11,1.39
郭少傑,7,07:34,71.43,9.09,50,0.86,0.29,0.14,0,2.29
林志傑,16,25:57:00,56.45,27.84,81.82,5.75,3.88,0.94,0.13,11.69
林孟學,20,14:09,50.91,9.09,50,2.2,0.6,0.4,0.25,3.45
蔡文誠,22,17:53,44.34,50,68,4.23,1.86,1,0.18,6.82
辛特力,16,33:41:00,49.66,36.08,82.95,9.88,4.06,1.31,0.25,20.38
曾祥鈞,24,20:41,52.85,0,51.22,6.29,0.88,0.5,0.96,6.29
石博恩,14,11:12,41.94,21.74,60,4.14,0.36,0.36,0.36,3.36
塞瑟夫,18,36:02:00,56.5,30.36,65.17,13,2.44,0.94,0.83,17.17
賈西亞,14,33:10:00,59.09,35.71,74.11,12.57,1.64,1.07,0.86,20
曾文鼎,15,15:04,59.26,22.22,33.33,2.8,2.33,0.8,0.67,3.47
