²y­û,GP,MPG,2P%,3P%,FT%,RPG,APG,SPG,BPG,PPG
¿à§Ê®¦,3,08:47,42.86,16.67,0,1.33,0.67,1,0,3
ªL®Ñ½n,4,17:24,50,16.67,66.67,2.5,4.25,0.25,0.25,4.75
Â²°¶¾§,4,15:38,33.33,23.81,0,2.25,1.5,1.25,0,4.75
±i©v¾Ë,4,33:23:00,50,29.63,66.67,3,3.75,2,0.25,19
©P®Û¦Ð,2,09:10,0,0,100,1,1,0,0,1
ªL§Ó³Ç,4,23:43,46.15,21.43,75,4.25,4.25,0.25,0,8.25
ªL©s¾Ç,4,21:56,47.06,33.33,100,4.25,1,0.75,0.5,6
½²¤å¸Û,4,14:22,52.38,22.22,100,3.75,0.75,1,0,8
¨¯¯S¤O,4,37:44:00,59.46,34.21,76.92,12.25,9.25,1.25,0,23.25
´¿²»¶v,3,18:27,33.33,0,100,4.67,0.33,0.67,0,4.67
¥Û³Õ®¦,2,14:02,37.5,66.67,0,4.5,0.5,0.5,0.5,6
¶ë·æ¤Ò,4,35:09:00,67.35,71.43,83.33,13.75,2.5,0.75,0.5,24
´¿¤å¹©,4,14:51,54.55,16.67,0,3.25,1.75,0.25,0,3.75
¤ý¦Ö²»,,,,,,,,,,
